"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3934197014","224078","9943","05 Jun 2018 09:18","44:53","2693","40-49","40,49","Dire","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3934135077","224078","9943","05 Jun 2018 08:23","27:43","1663","6-38","6,38","Dire","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon"
"3934056852","224078","9943","05 Jun 2018 07:06","33:04","1984","9-38","9,38","Dire","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3933995420","224054","9943","05 Jun 2018 06:03","27:35","1655","10-33","10,33","Dire","Newbee","Faith, kpii, Moogy, kaka, Sccc","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"3933935682","224054","9943","05 Jun 2018 04:52","41:02","2462","18-32","18,32","Dire","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","Newbee","Faith, kpii, Moogy, kaka, Sccc"
"3933892648","224054","9943","05 Jun 2018 03:59","25:09","1509","29-11","29,11","Radiant","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","Newbee","Faith, kpii, Moogy, kaka, Sccc"
"3932948526","223941","9943","04 Jun 2018 03:11","33:50","2030","32-14","32,14","Radiant","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR","Infamous","papita, Stinger, Accel, Matthew, Kotarō Hayama"
"3932802156","223941","9943","04 Jun 2018 01:53","48:11","2891","32-42","32,42","Dire","Infamous","papita, Stinger, Accel, Matthew, Kotarō Hayama","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR"
"3932641464","223927","9943","04 Jun 2018 12:07","1:00:10","3610","45-36","45,36","Radiant","Evil Geniuses","Cr1t-, s4, Arteezy, Fly, SumaiL","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver"
"3932554750","223927","9943","04 Jun 2018 11:05","32:10","1930","21-39","21,39","Dire","Evil Geniuses","Cr1t-, s4, Arteezy, Fly, SumaiL","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver"
